series_id,series_name,unit,date,value
CES0000000001,Total Nonfarm Payroll,Thousands of Jobs,2023-01-01,154776.0
CES0000000001,Total Nonfarm Payroll,Thousands of Jobs,2023-02-01,155066.0
CES0000000001,Total Nonfarm Payroll,Thousands of Jobs,2023-03-01,155134.0
CES0000000001,Total Nonfarm Payroll,Thousands of Jobs,2023-04-01,155375.0
CES0000000001,Total Nonfarm Payroll,Thousands of Jobs,2023-05-01,155655.0
CES0000000001,Total Nonfarm Payroll,Thousands of Jobs,2023-06-01,155880.0
CES0000000001,Total Nonfarm Payroll,Thousands of Jobs,2023-07-01,156043.0
CES0000000001,Total Nonfarm Payroll,Thousands of Jobs,2023-08-01,156261.0
CES0000000001,Total Nonfarm Payroll,Thousands of Jobs,2023-09-01,156417.0
CES0000000001,Total Nonfarm Payroll,Thousands of Jobs,2023-10-01,156576.0
CES0000000001,Total Nonfarm Payroll,Thousands of Jobs,2023-11-01,156703.0
CES0000000001,Total Nonfarm Payroll,Thousands of Jobs,2023-12-01,156857.0
CES0000000001,Total Nonfarm Payroll,Thousands of Jobs,2024-01-01,157032.0
CES0000000001,Total Nonfarm Payroll,Thousands of Jobs,2024-02-01,157238.0
CES0000000001,Total Nonfarm Payroll,Thousands of Jobs,2024-03-01,157466.0
CES0000000001,Total Nonfarm Payroll,Thousands of Jobs,2024-04-01,157530.0
CES0000000001,Total Nonfarm Payroll,Thousands of Jobs,2024-05-01,157608.0
CES0000000001,Total Nonfarm Payroll,Thousands of Jobs,2024-06-01,157695.0
CES0000000001,Total Nonfarm Payroll,Thousands of Jobs,2024-07-01,157748.0
CES0000000001,Total Nonfarm Payroll,Thousands of Jobs,2024-08-01,157757.0
CES0000000001,Total Nonfarm Payroll,Thousands of Jobs,2024-09-01,157912.0
CES0000000001,Total Nonfarm Payroll,Thousands of Jobs,2024-10-01,157945.0
CES0000000001,Total Nonfarm Payroll,Thousands of Jobs,2024-11-01,158079.0
CES0000000001,Total Nonfarm Payroll,Thousands of Jobs,2024-12-01,158316.0
CES0000000001,Total Nonfarm Payroll,Thousands of Jobs,2025-01-01,158268.0
CES0000000001,Total Nonfarm Payroll,Thousands of Jobs,2025-02-01,158310.0
CES0000000001,Total Nonfarm Payroll,Thousands of Jobs,2025-03-01,158377.0
CES0000000001,Total Nonfarm Payroll,Thousands of Jobs,2025-04-01,158485.0
CES0000000001,Total Nonfarm Payroll,Thousands of Jobs,2025-05-01,158498.0
CES0000000001,Total Nonfarm Payroll,Thousands of Jobs,2025-06-01,158478.0
CES0000000001,Total Nonfarm Payroll,Thousands of Jobs,2025-07-01,158542.0
CES0000000001,Total Nonfarm Payroll,Thousands of Jobs,2025-08-01,158472.0
CES0000000001,Total Nonfarm Payroll,Thousands of Jobs,2025-09-01,158548.0
CES0000000001,Total Nonfarm Payroll,Thousands of Jobs,2025-10-01,158408.0
CES0000000001,Total Nonfarm Payroll,Thousands of Jobs,2025-11-01,158449.0
CES0000000001,Total Nonfarm Payroll,Thousands of Jobs,2025-12-01,158432.0
CES0000000001,Total Nonfarm Payroll,Thousands of Jobs,2026-01-01,158592.0
CES0000000001,Total Nonfarm Payroll,Thousands of Jobs,2026-02-01,158436.0
CES0000000001,Total Nonfarm Payroll,Thousands of Jobs,2026-03-01,158650.0
CES0000000001,Total Nonfarm Payroll,Thousands of Jobs,2026-04-01,158798.0
CES0000000001,Total Nonfarm Payroll,Thousands of Jobs,2026-05-01,158927.0
CES0000000001,Total Nonfarm Payroll,Thousands of Jobs,2026-06-01,158984.0
CES0500000003,Average Hourly Earnings,Dollars,2023-01-01,33.02
CES0500000003,Average Hourly Earnings,Dollars,2023-02-01,33.15
CES0500000003,Average Hourly Earnings,Dollars,2023-03-01,33.27
CES0500000003,Average Hourly Earnings,Dollars,2023-04-01,33.43
CES0500000003,Average Hourly Earnings,Dollars,2023-05-01,33.5
CES0500000003,Average Hourly Earnings,Dollars,2023-06-01,33.69
CES0500000003,Average Hourly Earnings,Dollars,2023-07-01,33.85
CES0500000003,Average Hourly Earnings,Dollars,2023-08-01,33.89
CES0500000003,Average Hourly Earnings,Dollars,2023-09-01,34.01
CES0500000003,Average Hourly Earnings,Dollars,2023-10-01,34.08
CES0500000003,Average Hourly Earnings,Dollars,2023-11-01,34.17
CES0500000003,Average Hourly Earnings,Dollars,2023-12-01,34.29
CES0500000003,Average Hourly Earnings,Dollars,2024-01-01,34.47
CES0500000003,Average Hourly Earnings,Dollars,2024-02-01,34.52
CES0500000003,Average Hourly Earnings,Dollars,2024-03-01,34.65
CES0500000003,Average Hourly Earnings,Dollars,2024-04-01,34.76
CES0500000003,Average Hourly Earnings,Dollars,2024-05-01,34.89
CES0500000003,Average Hourly Earnings,Dollars,2024-06-01,35.01
CES0500000003,Average Hourly Earnings,Dollars,2024-07-01,35.08
CES0500000003,Average Hourly Earnings,Dollars,2024-08-01,35.22
CES0500000003,Average Hourly Earnings,Dollars,2024-09-01,35.34
CES0500000003,Average Hourly Earnings,Dollars,2024-10-01,35.46
CES0500000003,Average Hourly Earnings,Dollars,2024-11-01,35.6
CES0500000003,Average Hourly Earnings,Dollars,2024-12-01,35.69
CES0500000003,Average Hourly Earnings,Dollars,2025-01-01,35.84
CES0500000003,Average Hourly Earnings,Dollars,2025-02-01,35.94
CES0500000003,Average Hourly Earnings,Dollars,2025-03-01,36.11
CES0500000003,Average Hourly Earnings,Dollars,2025-04-01,36.12
CES0500000003,Average Hourly Earnings,Dollars,2025-05-01,36.28
CES0500000003,Average Hourly Earnings,Dollars,2025-06-01,36.36
CES0500000003,Average Hourly Earnings,Dollars,2025-07-01,36.47
CES0500000003,Average Hourly Earnings,Dollars,2025-08-01,36.62
CES0500000003,Average Hourly Earnings,Dollars,2025-09-01,36.7
CES0500000003,Average Hourly Earnings,Dollars,2025-10-01,36.85
CES0500000003,Average Hourly Earnings,Dollars,2025-11-01,37.0
CES0500000003,Average Hourly Earnings,Dollars,2025-12-01,37.02
CES0500000003,Average Hourly Earnings,Dollars,2026-01-01,37.15
CES0500000003,Average Hourly Earnings,Dollars,2026-02-01,37.27
CES0500000003,Average Hourly Earnings,Dollars,2026-03-01,37.35
CES0500000003,Average Hourly Earnings,Dollars,2026-04-01,37.41
CES0500000003,Average Hourly Earnings,Dollars,2026-05-01,37.51
CES0500000003,Average Hourly Earnings,Dollars,2026-06-01,37.64
JTS000000000000000JOL,Job Openings,Thousands,2023-01-01,10318.0
JTS000000000000000JOL,Job Openings,Thousands,2023-02-01,9857.0
JTS000000000000000JOL,Job Openings,Thousands,2023-03-01,9655.0
